V0,V1,V2,V3,V4,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10
1.7848903767412954,5.551809520633176,2.3565655526651845,9.330744247531218,6.36554062139314,0,0,0,0,0,0,0,0,0,0,1
1.6887626523871286,4.592136525568347,2.6554857542163166,5.622280667279812,5.574000286882339,0,0,0,0,0,0,0,0,0,0,1
0.8577927976500962,4.122213019264036,3.094978472315077,6.886429516442946,7.187788939062837,0,0,0,0,0,0,0,0,0,0,1
0.6709602833024243,4.203047318314993,3.005123901307012,8.591745111552644,5.19389491690925,0,0,0,0,0,0,0,0,0,0,1
-1.7416059190896118,3.588385791380514,3.950982498950358,4.155450714674739,7.391937710776304,0,0,0,0,0,0,0,0,0,0,1
2.865225572035368,5.184218908541016,3.3177537907429873,4.657553618839492,8.100859803892199,0,0,0,0,0,0,0,0,0,0,1
-0.47219180944608685,7.382777010671232,2.82929299741831,10.043466652584643,7.558379320981501,0,0,0,0,0,0,0,0,0,0,1
-3.3271575715145394,2.9258641791396656,1.9369468805157561,8.468273197147154,6.427988732974789,0,0,0,0,0,0,0,0,0,0,1
-0.9655235636567081,2.9756843174899408,2.2904212594966546,7.128005698581759,3.5232749128620084,0,0,0,0,0,0,0,0,0,0,1
3.5145030181470425,4.399184020468323,3.423347552714668,7.9804991246117885,4.445595379115077,0,0,0,0,0,0,0,0,0,0,1
-2.955046981949279,2.0696112940001963,1.9410518501161604,6.839214532938216,5.945886093225241,0,0,0,0,0,0,0,0,0,0,1
1.474895868090076,3.5382603149815903,2.555692269897437,10.10623790531021,4.807719574233033,0,0,0,0,0,0,0,0,0,0,1
3.124472682279878,5.08365718244905,3.0397905531627543,9.717818006379801,3.1689950110589282,0,0,0,0,0,0,0,0,0,0,1
1.4678403237607127,5.493847913631797,3.836082453607564,6.2688998107760145,7.090297073371257,0,0,0,0,0,0,0,0,0,0,1
-0.6552232874899564,1.9942380904108292,2.5642045548814774,5.873281520814789,7.897324949591098,0,0,0,0,0,0,0,0,0,0,1
3.594029167418102,7.090452190055769,3.215655972353078,8.275211694032619,7.531416916790936,0,0,0,0,0,0,0,0,0,0,1
1.842020320732149,2.150407044652739,2.3109753747218202,5.9355024123059845,9.513352223969465,0,0,0,0,0,0,0,0,0,0,1
1.1180329500480415,4.758979895652429,3.785780640135078,7.909039409735941,9.28236976253249,0,0,0,0,0,0,0,0,0,0,1
2.338926755576466,2.341823886133502,2.1730812708899094,6.558602805122468,7.145984905447705,0,0,0,0,0,0,0,0,0,0,1
0.2885135207748478,5.748626870916473,2.4408321433627993,7.437530458808274,5.6164160429184635,0,0,0,0,0,0,0,0,0,0,1
3.461289550187029,3.1892683630179115,2.803010326725108,4.721947040433486,4.535043775122002,0,0,0,0,0,0,0,0,0,0,1
1.1445108509556199,6.713369361353128,3.1148888441421616,6.611053575887536,4.076126568042676,0,0,0,0,0,0,0,0,0,0,1
-0.5384036814454911,5.369536978477572,2.735642667582069,9.021838826260087,7.175177037203463,0,0,0,0,0,0,0,0,0,0,1
0.5390229143520495,6.494925276687477,2.693202750853463,6.996124702317249,5.207139171940341,0,0,0,0,0,0,0,0,0,0,1
3.122771198687251,3.666882993403417,2.0848900561628882,7.537214215297042,4.290463282312556,0,0,0,0,0,0,0,0,0,0,1
0.5266592940227168,2.402847536293058,3.3916526756010965,12.20709312451979,6.615123428725126,0,0,0,0,0,0,0,0,0,0,1
1.8336097032650385,2.6072598768026447,2.5442837196784778,5.087160771762039,6.926957384052676,0,0,0,0,0,0,0,0,0,0,1
4.380949479947734,1.4172519750128023,3.2001060686998186,5.6183270283132405,5.837791380004444,0,0,0,0,0,0,0,0,0,0,1
