V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
183.14004186303654,403.92829716591336,152.87903653204816,358.0497346787648,9.566841797803807,-7.081993101005866,-15.043878346938383,-1.2538177449154242,16.66648783016562,313.3752392664423
180.25650188532745,382.77384405824284,164.81765783998776,366.31807295334534,5.761960341541459,-1.1532879231701951,-5.301303945521059,0.2142875597808307,2.4276546813746984,319.45061380668585
187.77538190237505,429.3669715466269,167.72059222736615,237.09092063010414,10.303263569788887,-6.36959638574558,-11.533480674776166,0.9637806587951434,11.878156376308741,272.4526702135436
182.80589991812866,362.05294637424004,167.8356600973701,297.9142571505189,8.023032478275185,-4.902363002432475,-9.311612195685907,0.36120002736948453,5.885206859258223,275.7425358163749
188.41006344085602,372.60654672910374,151.2799220352286,288.2018475592766,14.682991686231535,-9.294139336501038,-21.317870355762913,-2.9297483133517006,19.55532384040891,274.07702051365175
187.77374504200148,421.7637217489366,150.34467973384346,361.06468239035024,6.451551410051608,-4.265197496841064,-11.133728903216188,3.166809731554257,9.489915495756588,314.99118736125325
192.40627785886494,412.2867371818213,145.8528303985923,334.29407862036385,9.83755298938762,-6.208267933740775,-11.729637043492291,2.4884835331363186,14.182370315217927,299.96454248697063
188.3314738505741,418.7540439875974,169.54666107583617,330.00806968837117,2.1509375394053727,-1.9876485408979148,-3.3811309879519285,2.8001763855933928,8.248090524107628,315.0493172670351
187.51200080215523,392.7947565902729,150.14187594706655,363.51669959234727,3.8048188351611385,-2.8462575082259036,-8.409547850414048,5.327224065724144,1.8031227497632636,322.96236190642065
189.61436796382281,413.07565886576396,163.92945804180505,300.6953301391551,6.864644147448287,-3.3821090862054954,-7.449788414472956,-1.7285621252261385,4.331711650011519,309.9302260578409
185.66325598900258,426.99803378023745,160.80681492701095,338.58404779128807,13.890661811269414,-9.604305568832725,-24.216774330210452,1.538577717081774,22.77307363772361,308.9437452832408
188.20868656533904,412.7195380239264,153.6822920006896,349.80195230442456,10.074595066389014,-4.691768807375416,-12.124896551347739,-1.5715235632857771,10.596562916727239,315.4955117428964
185.06972108338343,396.93678818610357,150.0384062291286,345.0068347884012,12.055283395232298,-7.43166182328056,-13.809224097677063,3.9390738671475023,13.425727636557582,304.94345257201934
185.90320694509313,429.81484833709777,168.654877209254,327.1904764380353,17.761710335268326,-9.465814009383452,-21.07749806585361,1.7521448979936665,19.22930661006545,306.3342498324154
185.9266919532226,404.74645278318184,168.18031208081842,346.6849714540729,2.418668790231232,-2.8854096465243737,-8.857427459912753,3.972794711167439,8.95925379435516,317.50810675634347
183.9456944200893,441.01588401634984,163.0512464050436,358.33265116752085,17.897076692669987,-9.061701687648291,-21.04810422416241,0.7977589340104319,20.493623904309647,320.18398897488703
185.40516754994283,407.47132794817975,160.02480184518424,341.61065279188836,2.160129545481807,-2.61940113305189,-5.782984968653056,0.8806317603218423,10.078938491995977,309.2181723543081
181.3488261082067,439.4021830523712,163.4638784387397,322.2294229499298,5.200001225500489,-3.9857961526040175,-7.694843130207256,2.7422826692900992,10.305784886515898,306.1729459701308
